Country Name,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Finland,FIN,65774979.006954,63739794.0141776,56966845.01201148,53395187.01151978,61928296.02569232,56662483.993901595,49013122.00098954,47164954.000885025,47230960.00264085,42606873.00036365,45870502.99775394
Fiji,FJI,1217443.9996913401,1158771.9999924,894747.999826395,792071.99957766,1221111.00003417,1089098.999612707,1059763.000105304,1338455.0001117599,1646482.9997810388,2156196.000384614,2046186.000083236
France,FRA,375764824.0311991,369142222.0023038,366325965.9963453,351899988.0098235,353033091.00657105,331804827.9975436,333227623.9731529,334096702.9922113,303275567.9712498,,
Faroe Islands,FRO,678395.0002203201,689396.0000312501,630723.9998184,575718.9998227201,630723.99998322,568384.99996371,590387.00002665,678394.99985088,597721.0000564,608722.00002432,630724.00000428
"Micronesia, Fed. Sts.",FSM,121011.000044256,132011.999962196,110009.99995764901,146680.0000269,102675.999952903,117343.9999766,124677.99997946,135679.000041094,135678.99994674601,143013.00003826,143013.000019785
Gabon,GAB,4173045.9997123117,4118040.99963165,4180379.9994685804,4253720.000154912,4800102.99989724,4950449.999624085,5056792.999466032,5280480.000365595,5324483.9991991995,5262145.00084299,5320816.999866018
United Kingdom,GBR,541458218.9885004,528425700.99306625,521652752.0170063,471389182.9990799,492676118.0231797,447440006.0208724,468261232.01881164,455940112.0249343,419743155.03205943,405038485.00281566,379024787.0118541
Georgia,GEO,6149559.001785438,6420916.998522255,5364821.001710808,6241234.000181019,6314574.001646075,7990393.000330689,8445101.000784295,8203078.998250981,8980482.99923352,9798224.001102148,10128253.999543065
Ghana,GHA,9358183.99299318,9827559.989996437,9138163.993647324,7708033.99290654,9955904.994413812,11525381.00129907,14862351.010560183,14682667.988635529,15265721.004140113,16552837.997773435,16670181.996594673
Gibraltar,GIB,418037.99995935,414371.00013694,425371.99984050996,462042.00015539996,465708.99996389996,451041.00003324,462041.99991452,491378.00000715995,528048.00004275,579385.99997912,634391.0000758
Guinea,GIN,1892171.999059125,1969179.0036952742,2189198.996082504,2262538.997369761,2603569.996399104,2779585.997416227,2581568.0037907907,2299208.9989247797,2383550.002911867,2702578.9963290477,2995939.002756128
"Gambia, The",GMB,352031.99933363503,352031.99981963995,366700.00074708,381367.999602567,432706.000582188,447374.00080172095,454707.999520335,432706.00068218197,513380.000489244,524381.0009921,531715.000533959
